Unnamed: 0.1.1,link,total_claps,total_responses,total_claps_scaled,total_responses_scaled,score
256,https://medium.com/swlh/how-your-fear-of-solitude-is-holding-you-back-38531724188,4800,14,0.07950711456652486,0.020679468242245203,0.055976056036812986
661,https://medium.com/@JessicaLexicus/thank-people-who-dont-believe-in-you-ccb7d1d88d39,3500,38,0.05566964940589701,0.05612998522895126,0.05585378373511871
918,https://medium.com/the-write-brain/38-awesome-free-things-for-writers-95753330c8d2,4400,21,0.0721725099017163,0.0310192023633678,0.0557111868863769
1736,https://medium.com/the-write-brain/mediums-changes-kick-in-monday-here-s-a-30-day-master-plan-79eb9e290eda,4400,21,0.0721725099017163,0.0310192023633678,0.0557111868863769
584,https://blog.usejournal.com/the-ten-commandments-of-freelance-writing-5b7839d188bc,3700,34,0.059336951738301315,0.050221565731166914,0.055690797335447545
568,https://medium.com/liberationist-thoughts/why-your-mind-likes-to-ask-lazy-questions-ae8866173,4600,17,0.07583981223412058,0.025110782865583457,0.05554820048670573
32,https://medium.com/personal-growth/some-practical-thoughts-on-mindful-unhappiness-and-hedonic-adaptation-cc7401217d58,3400,39,0.05383599823969488,0.05760709010339735,0.05534443498517587
908,https://medium.com/@ngoeke/social-conducts-that-make-no-sense-6c2e41841f8,3800,31,0.06117060290450345,0.04579025110782866,0.05501846218583353
671,https://forge.medium.com/turn-a-good-idea-into-a-great-one-with-the-six-thinking-hats-4d94a0d0e4d1,4600,16,0.07583981223412058,0.02363367799113737,0.054957358536927285
846,https://medium.com/finding-tom/the-medium-community-can-be-super-toxic-16ec37d96cf8,3900,29,0.06300425407070559,0.04283604135893649,0.05493696898599795
1008,https://medium.com/swlh/your-copywriting-sucks-heres-what-you-need-to-do-fix-it-9d90e1c5cff7,4000,27,0.06483790523690773,0.03988183161004431,0.05485547578616237
152,https://medium.com/jane-austens-wastebasket/important-announcement-from-jane-austens-wastebasket-7b917b672613,4000,27,0.06483790523690773,0.03988183161004431,0.05485547578616237
